skill,ai_job_count,overall_job_count,share_in_ai_jobs,share_in_all_jobs,lift
Web,1,2,0.011494252873563218,0.0002,57.47126436781609
analyse,3,41,0.034482758620689655,0.0041,8.410428931875526
automatisering,1,8,0.011494252873563218,0.0008,14.367816091954023
backendutvikling,1,2,0.011494252873563218,0.0002,57.47126436781609
cloud engineer,1,1,0.011494252873563218,0.0001,114.94252873563218
cybersikkerhet,1,6,0.011494252873563218,0.0006,19.157088122605366
data science,2,2,0.022988505747126436,0.0002,114.94252873563218
data scientist,2,2,0.022988505747126436,0.0002,114.94252873563218
dataanalyse,1,5,0.011494252873563218,0.0005,22.988505747126435
dataplattform,1,2,0.011494252873563218,0.0002,57.47126436781609
digital transformasjon,1,3,0.011494252873563218,0.0003,38.31417624521073
digitalisering,3,10,0.034482758620689655,0.001,34.48275862068965
doktorgrad,1,9,0.011494252873563218,0.0009,12.77139208173691
endringsledelse,1,12,0.011494252873563218,0.0012,9.578544061302683
energi,2,5,0.022988505747126436,0.0005,45.97701149425287
energiinformatikk,1,1,0.011494252873563218,0.0001,114.94252873563218
fluiddynamikk,1,1,0.011494252873563218,0.0001,114.94252873563218
forretningsutvikling,1,9,0.011494252873563218,0.0009,12.77139208173691
forsikring,1,4,0.011494252873563218,0.0004,28.735632183908045
forsker,1,7,0.011494252873563218,0.0007,16.420361247947454
forskning,4,15,0.04597701149425287,0.0015,30.65134099616858
fysikk,1,1,0.011494252873563218,0.0001,114.94252873563218
graduate,1,2,0.011494252873563218,0.0002,57.47126436781609
industri,1,20,0.011494252873563218,0.002,5.747126436781609
informatikk,2,4,0.022988505747126436,0.0004,57.47126436781609
infrastruktur som kode,1,1,0.011494252873563218,0.0001,114.94252873563218
ingeniør,2,15,0.022988505747126436,0.0015,15.32567049808429
kausal inferens,1,1,0.011494252873563218,0.0001,114.94252873563218
kjernefysikk,1,1,0.011494252873563218,0.0001,114.94252873563218
konsulent,2,4,0.022988505747126436,0.0004,57.47126436781609
kontor,1,79,0.011494252873563218,0.0079,1.454968718172559
kunstig intelligens,4,6,0.04597701149425287,0.0006,76.62835249042146
ledelse,1,17,0.011494252873563218,0.0017,6.76132521974307
maskinlæring,7,7,0.08045977011494253,0.0007,114.94252873563218
matematikk,1,2,0.011494252873563218,0.0002,57.47126436781609
modellutvikling,2,2,0.022988505747126436,0.0002,114.94252873563218
olje og gass,1,1,0.011494252873563218,0.0001,114.94252873563218
opplæring,1,7,0.011494252873563218,0.0007,16.420361247947454
