job_id,skill,title,category,city,esco_uri,esco_label,match_method
6d549563-ec02-423d-b424-e627e1af928a,SAP,Planlegger - vedlikehold,"Maskiningeniører, Vedlikeholdsplanlegger, vedlikeholdsansvarlig, verkstedindustri",LAKSEVÅG,http://data.europa.eu/esco/skill/f8e3425c-fe44-4ffb-bafe-0e20d91dadf4,SAP,exact
6e956bf5-6380-4800-83f9-04ddf6543620,GIS,Geodatamedarbeidar,"Geo Data analyst, Landmålere, kartografer mv., Geologer og geofysikere, Geodataforvalter, GIS-spesialist",BERGEN,http://data.europa.eu/esco/skill/377861af-f966-4c87-a2db-7e99904312b9,gis,exact
7bc50349-21b2-4c2d-b51a-b0b6b1f8dc46,Informasjonssikkerhet,Seksjonsleder - jurist,"Andre ledere av produksjon og tjenesteyting, Seksjonsleder, Jurister og advokater, Jurist, Juridiske yrker",BODØ,http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44,informasjonssikkerhet,exact
9b65f670-4129-4d91-8e9f-e2de0f6c4eb9,Robotikk,Vil du lede utviklingen av fremtidens maritime dronekapasitet?,"Dronepilot, Flygere mv., Forsknings- og utviklingsledere, Utviklingsleder, forsknings- og utviklingssjef",BERGEN,http://data.europa.eu/esco/skill/e87ec79a-c9ff-46f5-84fa-7a0f394cdf40,robotikk,exact
b38cfcde-26d5-4822-8b2e-c1da026c187b,DevOps,Løsningsarkitekt,"IKT Løsningsarkitekt, IKT Løsningsarkitekt, Programvareutviklere",OSLO,http://data.europa.eu/esco/skill/f0de4973-0a70-4644-8fd4-3a97080476f4,DevOps,exact
b38cfcde-26d5-4822-8b2e-c1da026c187b,Digitalisering,Løsningsarkitekt,"IKT Løsningsarkitekt, IKT Løsningsarkitekt, Programvareutviklere",OSLO,http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582,digitalisering,exact
d0a2b3bc-b02e-4892-8e44-06121e70da19,Hjelpemidler,Fysioterapeut - 100 % fast stilling,"Fysioterapeut, Fysioterapeut, Fysioterapeuter",RAKKESTAD,http://data.europa.eu/esco/skill/8759c352-8b00-498f-985a-935f13e1b043,hjelpemidler,exact
efab3660-d23c-44c3-ad1d-9ae5a039fdb7,Digitalisering,Utviklere - digitalisering og forsyningssikkerhet,"Digital prosjektleder, Andre administrative ledere, Applikasjonsprogrammerere, Applikasjonsutvikler, IKT-programutvikler",OSLO,http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582,digitalisering,exact
efab3660-d23c-44c3-ad1d-9ae5a039fdb7,IT,Utviklere - digitalisering og forsyningssikkerhet,"Digital prosjektleder, Andre administrative ledere, Applikasjonsprogrammerere, Applikasjonsutvikler, IKT-programutvikler",OSLO,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,IT,exact
f4bdf617-3f88-4499-aa38-5f5ac6e022d7,.NET,Seniorrådgiver - digital gravferdsmelding - justis- og vergemålsavdelingen,"Programvareutviklere, Senior Backendutvikler, webutvikler",TØNSBERG,http://data.europa.eu/esco/skill/13bdd41a-2a18-441f-96db-41252c519413,.NET,exact
f4bdf617-3f88-4499-aa38-5f5ac6e022d7,C#,Seniorrådgiver - digital gravferdsmelding - justis- og vergemålsavdelingen,"Programvareutviklere, Senior Backendutvikler, webutvikler",TØNSBERG,http://data.europa.eu/esco/skill/4c016b68-4116-468c-9dc6-42710c239e4a,C#,exact
f4bdf617-3f88-4499-aa38-5f5ac6e022d7,IT,Seniorrådgiver - digital gravferdsmelding - justis- og vergemålsavdelingen,"Programvareutviklere, Senior Backendutvikler, webutvikler",TØNSBERG,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,IT,exact
f7e15a9f-4c12-450c-94b7-6a85b2b0467f,GIS,Rådgjevar plan,"Høyere saksbehandlere i offentlig og privat virksomhet, Høyere saksbehandlere i offentlig og privat virksomhet, Rådgiver (offentlig administrasjon)",BYGLAND,http://data.europa.eu/esco/skill/377861af-f966-4c87-a2db-7e99904312b9,gis,exact
fbfdd899-dd4e-4ea6-ad77-36e1942b4f13,Dataanalyse,Strategisk analytiker - vikariat,"Høyere saksbehandlere i offentlig og privat virksomhet, Rådgiver (offentlig administrasjon), Matematikere, statistikere mv., Statistikkassistent, Matematikere, statistikere mv., Statistiker, statistiker",TRONDHEIM,http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,dataanalyse,exact
70a8236f-5106-47a4-9176-448cc9b5a41a,Digitalisering,Vil du lede og utvikle arkivtjenesten ved Diakonhjemmet sykehus?,"Arkivleder, Arkivleder, Arbeidsledere for kontorpersonell, Arkivarer og kuratorer, Arkivar",OSLO,http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582,digitalisering,exact
da1d7081-a029-4c4e-b8d7-e1e9b3297e61,Python,Research Scientist/Senior Research Scientist in Experimental Electrochemical Conversion,"Forskningsingeniør, Forskningsingeniør, Andre sivilingeniører( unntatt elektroteknologi)",OSLO,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d,Python,exact
aea24aba-5b8b-43f4-a1b0-2fac993c677e,IT,Ønsker du å forme en av statens viktigste digitale løsninger for EØS-schengen-arbeid?,"Andre ledere av produksjon og tjenesteyting, Leder av offentlig forvaltning, Andre ledere av produksjon og tjenesteyting",OSLO,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,IT,exact
3f0f2190-7e32-4b40-9d1b-b811519d1c81,IT,Vil du være en teknisk spydspiss for AI i Columbus Norge?,"AI-utvikler, AI-utvikler, Systemanalytikere/-arkitekter",OSLO,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,IT,exact
8768f83e-6d9b-4783-bbda-75cec6c422e9,Dataanalyse,Earth Observation Engineer,"Earth observation systems engineer, Earth observation systems engineer, Sivilingeniører (elektronikk)",KONGSBERG,http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,dataanalyse,exact
8768f83e-6d9b-4783-bbda-75cec6c422e9,Elektronikk,Earth Observation Engineer,"Earth observation systems engineer, Earth observation systems engineer, Sivilingeniører (elektronikk)",KONGSBERG,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08,elektronikk,exact
88e661d6-b046-45a8-88b1-e58addddcfdd,IT-sikkerhet,Vil du ha en sentral rolle med ansvar for styring og oppfølging av bankens IT-område?,"Systemadministrator, Systemadministrator, Systemadministratorer, IT-ansvarlig",STRØMMEN,http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44,IT-sikkerhet,exact
0615c486-78e2-4b49-9e91-3b3bb101b697,IT,"Vil du ha teknisk ansvar, jobbe tett med kunder og forvalte moderne sky- og applikasjonsløsninger?","Cloud-ingeniør, Programvareutviklere",OSLO,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,IT,exact
b993ff93-d53d-4a62-96fc-9f783cf1247c,Digitalisering,Led teknologiutviklingen bak fremtidens kraftproduksjon,"Andre ledere av produksjon og tjenesteyting, Seksjonsleder, avdelingsleder",BERGEN,http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582,digitalisering,exact
b993ff93-d53d-4a62-96fc-9f783cf1247c,IT,Led teknologiutviklingen bak fremtidens kraftproduksjon,"Andre ledere av produksjon og tjenesteyting, Seksjonsleder, avdelingsleder",BERGEN,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5,IT,exact
51163b32-8d28-44a9-8f47-94b59cd700c0,Dataanalyse,Join Our M\&A Analytics Team --- Deloitte Strategy \& Transaction is Looking for New Colleagues,"Analytiker, virksomhetovertakelse og -fusjon, Finansanalytikere",OSLO,http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,dataanalyse,exact
