city,skill,job_count,city_total_skill_mentions,city_total_jobs,skill_share,job_share
ALTA,React Native,2,617,64,0.0032414910858995136,0.03125
ALTA,Redning,1,617,64,0.0016207455429497568,0.015625
ALTA,Redningsfarkost,2,617,64,0.0032414910858995136,0.03125
ALTA,Registrering,1,617,64,0.0016207455429497568,0.015625
ALTA,Regnskap,1,617,64,0.0016207455429497568,0.015625
ALTA,Reguleringsplan,1,617,64,0.0016207455429497568,0.015625
ALTA,Relasjonsbygging,2,617,64,0.0032414910858995136,0.03125
ALTA,Rengjøring,2,617,64,0.0032414910858995136,0.03125
ALTA,Renhold,3,617,64,0.004862236628849271,0.046875
ALTA,Renholder,2,617,64,0.0032414910858995136,0.03125
ALTA,Reparasjon,1,617,64,0.0016207455429497568,0.015625
ALTA,Retail,1,617,64,0.0016207455429497568,0.015625
ALTA,Rute,1,617,64,0.0016207455429497568,0.015625
ALTA,Rådgiver,1,617,64,0.0016207455429497568,0.015625
ALTA,Rådgivning,3,617,64,0.004862236628849271,0.046875
ALTA,Rørlegger,1,617,64,0.0016207455429497568,0.015625
ALTA,SD-anlegg,2,617,64,0.0032414910858995136,0.03125
ALTA,Saksbehandler,1,617,64,0.0016207455429497568,0.015625
ALTA,Saksbehandling,5,617,64,0.008103727714748784,0.078125
ALTA,Salg,11,617,64,0.017828200972447326,0.171875
ALTA,Salgsmedarbeider,4,617,64,0.006482982171799027,0.0625
ALTA,Salmon,1,617,64,0.0016207455429497568,0.015625
