skill,job_count
Overvåking,9
risikostyring,9
Tekstforfatter,9
Institusjonskjøkken,9
Tekniske anlegg,9
Studentjobb,9
Straffegjennomføring,9
Gravemaskinfører,9
Teknisk utstyr,9
Teknologiutvikling,9
Bad,9
Sykehjemslege,9
Tvisteløsning,9
Velferd,9
Fysikk,9
Geodata,9
Faglig ledelse,9
Stålkonstruksjon,9
Industrirørlegger,9
Media,9
Bankett,9
Bakst,9
Maskinrom,9
forretningsutvikling,9
doktorgrad,9
drift,9
IT-kompetanse,9
Barnehjem,9
Botiltak,9
Redaktør,9
Kolonial,9
Kraftsystem,9
Mentor,9
Spesialrådgiver,9
IT-prosjekt,9
Kantinemedarbeider,9
produksjon,9
Tegningslesing,9
Kassemedarbeider,9
Toll,9
Operasjonssykepleier,9
budsjett,9
Kritisk infrastruktur,9
barnepass,9
Kaptein,9
Kapellan,9
Spesialkonsulent,9
Synsundersøkelse,9
Skolekjøring,9
Serviceelektriker,9
Microsoft,9
Kvinnehelse,9
Driftskoordinator,9
Aktivitør,9
Rask mat,9
Byggteknisk,9
Barnevernkonsulent,9
Barnevernskonsulent,9
Kommunal helsearbeid,9
Hovmester,9
Kliniske studier,9
Mobilitet,9
Kulturarbeid,9
sykepleier,9
Vold i nære relasjoner,9
Helseforetak,9
Anleggsarbeider,9
Fasade,9
Transformatorstasjon,9
Prosjektkoordinering,9
Møtebooking,9
Smykker,9
Billettsalg,9
Ernæringskokk,9
Avlaster,9
Produkteier,9
Bilselger,9
Energisystem,9
barn,9
kompetanseutvikling,9
Bilskade,9
SolidWorks,9
Tverrfaglig arbeid,9
Nestleder,9
Helse- og omsorgstjenester,9
Pedagogisk kompetanse,9
Fagdirektør,9
Advokatfullmektig,9
Forskningsadministrasjon,9
Teknologiledelse,9
Vernepleie,9
